"","p..bar.","h...kJ.kg.","h....kJ.kg.","s...kJ..kgK..","s....kJ..kgK.."
"219",201,1830.76,2407.56,4.02004,4.92363
"220",202,1837.92,2399.52,4.03048,4.91016
"221",203,1845.08,2391.48,4.04092,4.89669
"222",204,1852.24,2383.44,4.05136,4.88322
"223",205,1859.4,2375.4,4.0618,4.86975
"224",206,1866.56,2367.36,4.07224,4.85628
"225",207,1873.72,2359.32,4.08268,4.84281
"226",208,1880.88,2351.28,4.09312,4.82934
"227",209,1888.04,2343.24,4.10356,4.81587
"228",210,1895.2,2335.2,4.114,4.8024
"229",211,1905.18,2324.12,4.1285,4.78446
"230",212,1915.16,2313.04,4.143,4.76652
"231",213,1925.14,2301.96,4.1575,4.74858
"232",214,1935.12,2290.88,4.172,4.73064
"233",215,1945.1,2279.8,4.1865,4.7127
"234",216,1955.08,2268.72,4.201,4.69476
"235",217,1965.06,2257.64,4.2155,4.67682
"236",218,1975.04,2246.56,4.23,4.65888
"237",219,1985.02,2235.48,4.2445,4.64094
"238",220,1995,2224.4,4.259,4.623
"239",221.2,2107.4,2107.4,4.4429,4.4429
